ANADIA-AL,AL, 361.07 , -   , 361.07 ," 3,318.55 "
ATALAIA-AL,AL, 466.38 , -   , 466.38 ," 4,286.46 "
BARRA DE SANTO ANTONIO-AL,AL, 346.02 , -   , 346.02 ," 3,180.27 "
BARRA DE SAO MIGUEL-AL,AL, 300.89 , -   , 300.89 ," 2,765.44 "
BOCA DA MATA-AL,AL, 406.20 , -   , 406.20 ," 3,733.37 "
BRANQUINHA-AL,AL, 315.93 , -   , 315.93 ," 2,903.71 "
CAJUEIRO-AL,AL, 391.16 , -   , 391.16 ," 3,595.09 "
CAMPESTRE-AL,AL, 300.89 , -   , 300.89 ," 2,765.44 "
CAMPO ALEGRE-AL,AL, 481.42 , -   , 481.42 ," 4,424.72 "
CAPELA-AL,AL, 361.07 , -   , 361.07 ," 3,318.55 "
CHA PRETA-AL,AL, 300.89 , -   , 300.89 ," 2,765.44 "
COLONIA LEOPOLDINA-AL,AL, 391.16 , -   , 391.16 ," 3,595.09 "
COQUEIRO SECO-AL,AL," 568,311.48 ", 87.69 ," 568,399.17 "," 5,233,801.82 "
CORURIPE-AL,AL," 592,490.53 "," 37,171.49 "," 629,662.02 "," 4,442,766.79 "
FELIZ DESERTO-AL,AL," 10,884.24 "," 15,210.73 "," 26,094.97 "," 239,836.54 "
FLEXEIRAS-AL,AL, 330.98 , -   , 330.98 ," 3,041.99 "
IBATEGUARA-AL,AL, 346.02 , -   , 346.02 ," 3,180.27 "
IGREJA NOVA-AL,AL, 391.16 , -   , 391.16 ," 3,595.09 "
JACUIPE-AL,AL, 300.89 , -   , 300.89 ," 2,765.44 "
JAPARATINGA-AL,AL, 300.89 , -   , 300.89 ," 2,765.44 "
JEQUIA DA PRAIA-AL,AL, 330.98 , -   , 330.98 ," 3,041.99 "
JOAQUIM GOMES-AL,AL, 391.16 , -   , 391.16 ," 3,595.09 "
JUNDIA-AL,AL, 300.89 , -   , 300.89 ," 2,765.44 "
JUNQUEIRO-AL,AL, 391.16 , -   , 391.16 ," 3,595.09 "
MACEIO-AL,AL," 575,993.13 "," 11,811.61 "," 587,804.74 "," 5,458,144.95 "
MARAGOGI-AL,AL, 421.25 , -   , 421.25 ," 3,871.63 "
MARECHAL DEODORO-AL,AL," 544,990.69 "," 21,444.39 "," 566,435.08 "," 7,614,602.84 "
MATRIZ DE CAMARAGIBE-AL,AL, 391.16 , -   , 391.16 ," 3,595.09 "
MESSIAS-AL,AL, 346.02 , -   , 346.02 ," 3,180.27 "
MURICI-AL,AL, 406.20 , -   , 406.20 ," 3,733.37 "
NOVO LINO-AL,AL, 330.98 , -   , 330.98 ," 3,041.99 "
PARIPUEIRA-AL,AL," 568,213.44 "," 4,091.92 "," 572,305.36 "," 5,278,820.80 "
PASSO DE CAMARAGIBE-AL,AL, 346.02 , -   , 346.02 ," 3,180.27 "
PENEDO-AL,AL," 572,116.23 ", -   ," 572,116.23 "," 2,307,696.94 "
PIACABUCU-AL,AL, 361.07 , -   , 361.07 ," 3,318.55 "
PILAR-AL,AL," 642,828.25 "," 73,608.76 "," 716,437.01 "," 7,106,071.01 "
PINDOBA-AL,AL, 300.89 , -   , 300.89 ," 2,765.44 "
PORTO CALVO-AL,AL, 406.20 , -   , 406.20 ," 3,733.37 "
PORTO DE PEDRAS-AL,AL, 300.89 , -   , 300.89 ," 2,765.44 "
PORTO REAL DO COLEGIO-AL,AL, 376.11 , -   , 376.11 ," 3,456.80 "
RIO LARGO-AL,AL," 573,302.47 ", 755.42 ," 574,057.89 "," 2,119,668.49 "
ROTEIRO-AL,AL," 568,719.75 ", 401.88 ," 569,121.63 "," 5,253,274.99 "
SANTA LUZIA DO NORTE-AL,AL, -   , -   , -   , 16.45 
SANTANA DO MUNDAU-AL,AL, 315.93 , -   , 315.93 ," 2,903.71 "
SAO JOSE DA LAJE-AL,AL, 391.16 , -   , 391.16 ," 3,595.09 "
SAO LUIS DO QUITUNDE-AL,AL, 436.29 , -   , 436.29 ," 4,009.91 "
SAO MIGUEL DOS CAMPOS-AL,AL," 692,853.37 "," 114,783.83 "," 807,637.20 "," 7,730,672.81 "
SAO MIGUEL DOS MILAGRES-AL,AL, 300.89 , -   , 300.89 ," 2,765.44 "
SATUBA-AL,AL," 14,671.99 "," 9,240.25 "," 23,912.24 "," 145,832.45 "
TEOTONIO VILELA-AL,AL, 466.38 , -   , 466.38 ," 4,286.46 "
UNIAO DOS PALMARES-AL,AL, 496.47 , -   , 496.47 ," 4,563.02 "
VICOSA-AL,AL, 406.20 , -   , 406.20 ," 3,733.37 "
ALAGOAS  TOTAL,," 5,939,682.89 "," 288,607.97 "," 6,228,290.86 "," 53,062,704.07 "
ANAMA-AM,AM," 25,166.73 "," 1,828.16 "," 26,994.89 "," 241,146.83 "
ANORI-AM,AM," 542,787.59 "," 2,049.52 "," 544,837.11 "," 3,757,372.33 "
AUTAZES-AM,AM, -   ," 6,291.82 "," 6,291.82 "," 60,051.53 "
BERURI-AM,AM, -   ," 1,653.07 "," 1,653.07 "," 15,568.09 "
CAAPIRANGA-AM,AM," 161,801.57 ", 151.42 ," 161,952.99 "," 1,904,736.99 "
CAREIRO DA VARZEA-AM,AM, -   ," 6,291.82 "," 6,291.82 "," 60,051.53 "
CAREIRO-AM,AM, -   ," 1,653.07 "," 1,653.07 "," 15,568.09 "
COARI-AM,AM," 2,505,151.75 "," 1,856,953.24 "," 4,362,104.99 "," 38,127,648.74 "
CODAJAS-AM,AM," 567,925.92 "," 1,653.07 "," 569,578.99 "," 3,919,226.66 "
IRANDUBA-AM,AM, -   ," 6,291.82 "," 6,291.82 "," 60,062.41 "
ITACOATIARA-AM,AM, -   ," 6,291.82 "," 6,291.82 "," 60,051.53 "
ITAPIRANGA-AM,AM, -   ," 6,291.82 "," 6,291.82 "," 60,051.53 "
MANACAPURU-AM,AM," 517,620.86 "," 1,653.07 "," 519,273.93 "," 3,535,364.11 "
MANAQUIRI-AM,AM, -   ," 1,653.07 "," 1,653.07 "," 15,568.09 "
MANAUS-AM,AM," 161,801.57 "," 187,727.57 "," 349,529.14 "," 2,126,593.82 "
PARINTINS-AM,AM, -   ," 6,291.82 "," 6,291.82 "," 60,041.76 "
