munic,pe
COARI-AM,"3.829.007,14"
CAIRU-BA,"250.502,46"
ITAPEMIRIM-ES,"16.137.500,90"
MARATAIZES-ES,"3.022.954,32"
PIUMA-ES,"98.468,05"
PRESIDENTE KENNEDY-ES,"29.803.784,10"
ARMACAO DOS BUZIOS-RJ,"5.025.955,24"
ARRAIAL DO CABO-RJ,"135.691,91"
CABO FRIO-RJ,"33.027.040,92"
CAMPOS DOS GOYTACAZES-RJ,"149.800.759,89"
CARAPEBUS-RJ,"321.073,39"
CASIMIRO DE ABREU-RJ,"10.250.255,65"
MACAE-RJ,"11.256.026,54"
MARICA-RJ,"7.408.209,15"
NITEROI-RJ,"6.521.638,98"
PARATI-RJ,"825.500,47"
QUISSAMA-RJ,"1.086.379,56"
RIO DAS OSTRAS-RJ,"31.774.304,88"
RIO DE JANEIRO-RJ,"1.208.927,22"
SAO JOAO DA BARRA-RJ,"26.502.049,87"
AREIA BRANCA-RN,"224.508,63"
MOSSORO-RN,"979.402,78"
SERRA DO MEL-RN,"2.609,76"
AUGUSTO SEVERO-RN,"1.188,93"
CARMOPOLIS-SE,"264.496,55"
GENERAL MAYNARD-SE,"1.022,05"
JAPARATUBA-SE,"306.771,54"
MARUIM-SE,"7.840,93"
ROSARIO DO CATETE-SE,"39.696,37"
SANTO AMARO DAS BROTAS-SE,"9.751,16"
IGUAPE-SP,"105.897,74"
ILHA COMPRIDA-SP,"1.381.430,01"
