munic,pe
MARECHAL DEODORO-AL,"1.923,63"
PILAR-AL,"10.387,72"
RIO LARGO-AL,"487,97"
SATUBA-AL,"2.197,20"
COARI-AM,"1.599.096,28"
POJUCA-BA,"211.560,21"
JAGUARE-ES,"26.799,01"
PRESIDENTE KENNEDY-ES,"989.185,88"
ARMACAO DOS BUZIOS-RJ,"1.829.859,56"
CABO FRIO-RJ,"17.908.812,04"
CAMPOS DOS GOYTACAZES-RJ,"97.777.473,59"
CARAPEBUS-RJ,"387.200,64"
CASIMIRO DE ABREU-RJ,"5.990.897,82"
MACAE-RJ,"15.372.063,69"
QUISSAMA-RJ,"9.948.507,41"
RIO DAS OSTRAS-RJ,"30.912.783,73"
SAO JOAO DA BARRA-RJ,"2.077.870,95"
AREIA BRANCA-RN,"146.061,89"
MOSSORO-RN,"689.033,43"
CARMOPOLIS-SE,"239.349,62"
GENERAL MAYNARD-SE,"1.336,20"
JAPARATUBA-SE,"249.710,90"
MARUIM-SE,"6.296,79"
ROSARIO DO CATETE-SE,"20.277,90"
SANTO AMARO DAS BROTAS-SE,"4.679,41"
