munic,pe
COARI-AM,"5.025.284,80"
CAIRU-BA,"684.892,22"
ITAPEMIRIM-ES,"16.136.226,90"
MARATAIZES-ES,"2.713.260,52"
PIUMA-ES,"55.415,78"
PRESIDENTE KENNEDY-ES,"31.000.859,28"
ARMACAO DOS BUZIOS-RJ,"5.338.372,57"
ARRAIAL DO CABO-RJ,"187.049,23"
CABO FRIO-RJ,"34.664.520,08"
CAMPOS DOS GOYTACAZES-RJ,"161.424.407,93"
CARAPEBUS-RJ,"510.035,45"
CASIMIRO DE ABREU-RJ,"10.797.952,74"
MACAE-RJ,"12.592.669,11"
MARICA-RJ,"28.546.143,25"
NITEROI-RJ,"25.129.911,50"
PARATI-RJ,"1.137.939,86"
QUISSAMA-RJ,"2.025.965,13"
RIO DAS OSTRAS-RJ,"34.153.814,28"
RIO DE JANEIRO-RJ,"4.658.374,03"
SAO JOAO DA BARRA-RJ,"28.217.986,55"
AREIA BRANCA-RN,"261.265,86"
MOSSORO-RN,"1.122.126,87"
SERRA DO MEL-RN,"2.428,64"
AUGUSTO SEVERO-RN,"1.452,69"
CARMOPOLIS-SE,"372.064,03"
GENERAL MAYNARD-SE,"1.396,84"
JAPARATUBA-SE,"431.073,18"
MARUIM-SE,"9.669,12"
ROSARIO DO CATETE-SE,"50.024,88"
SANTO AMARO DAS BROTAS-SE,"18.833,62"
IGUAPE-SP,"94.196,34"
ILHA COMPRIDA-SP,"1.228.785,94"
MACAU-RN,"5.547,90"
SANTO ANTONIO DOS LOPES-MA,"520.017,91"
