munic,pe
COARI-AM,"2.159.971,39"
CAIRU-BA,"390.823,22"
ITAPEMIRIM-ES,"14.630.613,02"
MARATAIZES-ES,"2.918.517,79"
PRESIDENTE KENNEDY-ES,"23.929.098,43"
ARMACAO DOS BUZIOS-RJ,"423.879,32"
CABO FRIO-RJ,"3.126.748,33"
CAMPOS DOS GOYTACAZES-RJ,"47.427.601,63"
CARAPEBUS-RJ,"55.963,62"
CASIMIRO DE ABREU-RJ,"1.412.945,19"
MACAE-RJ,"1.914.879,07"
MARICA-RJ,"50.018.719,50"
NITEROI-RJ,"44.032.778,21"
QUISSAMA-RJ,"229.042,93"
RIO DAS OSTRAS-RJ,"4.689.975,96"
RIO DE JANEIRO-RJ,"8.238.639,32"
SAO JOAO DA BARRA-RJ,"16.439.166,73"
AREIA BRANCA-RN,"19.401,11"
MOSSORO-RN,"93.948,16"
SERRA DO MEL-RN,"209,36"
AUGUSTO SEVERO-RN,"10,80"
SANTO ANTONIO DOS LOPES-MA,"202.922,52"
ILHABELA-SP,"42.737.853,89"
IGUAPE-SP,"105.730,35"
ILHA COMPRIDA-SP,"1.379.246,47"
